landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.1,7.1,0,19,19,13,0.38,19,15,13,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.1,7.2,0,17,19,14,0.36,22,23,10,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.6,6.9,0,16,12,19,0.79,47,12,8,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.7,6.4,0,23,10,22,0.45,94,24,53,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.9,6.3,0,31,27,21,0.78,86,15,17,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.6,6.5,0,30,19,28,1.55,86,23,19,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.2,7.3,0,3,7,14,0.3,17,40,3,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.9,7.1,0,27,16,39,1.04,52,21,21,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,2.4,5.8,9,14,16,19,0.64,96,10,5,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.9,5.4,20,31,27,18,0.43,74,14,14,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.2,6.5,0,19,11,21,0.94,106,18,22,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.3,6.4,0,12,9,18,0.85,94,17,10,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7,6.5,0,28,25,27,1.44,89,14,23,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4.3,6.2,0,18,11,20,0.59,85,15,11,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,6.1,6.8,0,59,28,29,1.54,35,12,35,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.5,5.6,10,45,62,30,1.1,71,109,29,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,2.5,6.9,0,43,41,17,0.5,16,44,24,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,1.5,7.3,0,9,21,18,0.36,19,20,5,4,65,31
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,3.8,7.3,0,14,14,18,0.61,24,24,8,21,35,44
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,6.3,7,0,46,22,30,1.16,32,47,23,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,15.9,7.1,0,28,32,43,1.85,31,19,24,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,9.7,6.6,0,6,15,25,1.33,86,237,28,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,3.8,5.7,13,20,9,18,0.63,73,19,22,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,9.1,5.6,0,30,25,26,1.01,99,23,78,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.6,6,0,24,16,25,1.24,93,16,41,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.6,7.1,0,14,19,25,0.61,25,11,9,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.3,5.7,5,17,19,14,0.47,67,15,16,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.5,7,0,31,26,30,0.9,22,43,17,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,12.7,6.4,0,46,33,27,1.72,95,21,53,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.5,6.6,0,46,37,34,1.71,76,11,25,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5,5.5,15,19,32,18,0.75,107,13,15,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,10.2,5,27,32,22,18,0.56,62,300,48,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.1,5.4,20,34,39,20,0.78,89,11,24,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4.3,6.5,0,24,29,15,0.75,49,10,7,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,1.5,7.4,0,12,9,19,0.35,18,18,4,6.5,17.5,76
Vineyards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,1.5,6.3,0,14,11,20,0.29,72,243,12,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,4.7,7.3,0,19,17,25,0.74,14,21,40,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.4,7.1,0,25,17,18,0.76,14,32,21,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.4,7.4,0,17,18,28,0.75,10,16,9,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,0.6,7.4,0,1,17,17,0.37,20,7,4,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.8,6.7,0,45,36,38,1.59,67,13,30,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.4,5.1,35,36,12,17,0.7,77,19,56,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.6,6.2,0,32,17,25,1.56,111,17,43,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,2.8,5.6,0,31,11,14,0.55,76,16,14,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,4.1,6.3,0,25,17,18,0.96,114,205,62,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,3.2,5.5,22,31,31,12,0.67,104,15,15,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,4.6,6.7,0,58,17,23,1.28,37,15,36,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,2,6.2,0,27,14,10,0.49,73,24,20,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.8,5.5,15,68,45,19,1.4,180,23,52,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,8.2,6.2,0,75,40,21,1.49,87,24,47,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,3.3,5.9,5,27,19,25,0.64,78,16,10,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.2,5.7,5,28,14,23,1.08,96,13,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.7,6.9,0,39,26,25,1.87,58,15,15,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.9,7,0,36,30,26,1.13,21,18,26,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,2.7,6.3,0,16,11,14,0.46,50,10,7,10,25,65
Vineyards,Us,Sandiger Schluff,high_carbonate,3.7,7,0,27,20,21,0.48,6,225,25,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.6,4.9,45,23,19,16,1.04,207,23,17,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.7,5.2,30,43,31,11,0.63,83,20,20,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.2,6.8,0,50,29,27,1.38,38,10,27,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.8,7,0,28,19,32,1.01,38,16,15,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.6,6.1,0,20,29,20,1.59,91,14,18,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.8,7.1,0,26,17,36,1.09,20,10,17,10,25,65
Orchards,Lu,Schluffiger Lehm,high_carbonate,5.7,6.9,0,41,34,47,1.58,43,145,37,23.5,57.5,19
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,4.9,6.6,0,60,19,22,0.91,50,17,25,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.6,6,0,21,19,24,1.25,87,13,24,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,2.1,5.9,0,13,13,14,1,37,7,4,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6,6.1,0,37,18,18,0.92,36,10,11,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5,6.7,0,34,26,32,1.75,51,19,19,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.7,6.9,0,47,25,26,0.98,17,32,39,10,25,65
