landuse,texture,ph,som,cu,zn
Orchards,Sl3,6.1,5.3,17,17
Orchards,Sl3,6.4,5.6,13,21
Orchards,Sl3,7.2,4.5,20,35
Orchards,Su3,7.3,2.6,6,6
Orchards,Ls3,7.2,4.3,5,5
Orchards,Sl3,7.3,4,34,29
Orchards,Sl3,7.1,5.1,75,30
Vineyards,Sl3,6.9,3.7,351,29
Orchards,Sl3,7,8.7,11,29
Orchards,Us,5.8,5.9,14,15
Orchards,Sl3,5.3,9.7,15,18
Orchards,Sl3,6.4,6.6,19,30
Vineyards,Ls3,7,4.4,218,26
Orchards,Us,7.2,2.9,7,6
Orchards,Sl3,7.1,3.4,153,29
Orchards,Ut3,7.4,3.3,18,15
Orchards,Slu,5.5,7,12,6
Orchards,Sl3,6.6,4.9,417,27
Orchards,Su3,7.4,2.1,11,9
Orchards,Su3,7.4,3.6,22,8
Orchards,Sl3,4.1,5.2,13,14
Orchards,Sl3,4.7,5.5,28,24
Orchards,Sl3,5.4,5.7,15,19
Orchards,Us,6.3,5.8,18,17
Orchards,Us,7.4,1,8,5
Orchards,Us,7.3,0.9,9,5
Orchards,Sl3,7.1,4.3,26,22
Orchards,Su3,7,4.8,51,23
Orchards,Sl2,7.1,3.3,32,18
Orchards,Us,6.2,3.7,13,11
Orchards,Sl3,7.4,3.2,29,9
Orchards,Sl3,5.6,10.6,33,39
Orchards,Ut3,7.3,4.1,11,4
Orchards,Us,6.5,6,17,14
Orchards,Ut3,7.2,6.4,42,32
Orchards,Us,7,11.8,9,5
Orchards,Slu,7.2,13.4,13,28
Orchards,Ut3,7.3,5.5,13,10
Orchards,Su3,7.3,5.3,5,16
Orchards,Su3,6.8,3,150,34
Orchards,Us,7.2,3.5,39,24
Orchards,Us,7.5,3.5,36,6
Orchards,Sl3,7.1,5.6,38,30
Orchards,Sl3,7.3,4,34,25
Orchards,Us,7.1,4.8,100,28
Orchards,Ut3,7.2,4,121,17
Orchards,Slu,7.3,9.5,39,23
Orchards,Sl3,7.4,4.4,24,13
Orchards,Us,7.1,8.9,56,48
Orchards,Us,5.6,5.6,20,17
Orchards,Ls3,7.2,8.3,13,12
Orchards,Sl3,6,4,16,13
Orchards,Us,5.6,4.1,20,17
Orchards,Sl3,6.4,6.9,19,11
Orchards,Sl3,6.4,7,15,27
Orchards,Sl3,6.3,4.1,15,10
Orchards,Sl3,7,2.8,10,9
Orchards,Sl3,6.3,5.4,21,28
Orchards,Sl3,5.8,2.6,15,8
Orchards,Su3,5.9,3.7,14,21
Orchards,Sl3,6,7.4,22,37
Orchards,Sl3,5.7,5.5,17,37
Orchards,Ut3,7.3,9.1,13,11
Orchards,Sl3,5.6,6.8,42,49
Orchards,Sl3,6.3,6.7,19,36
Orchards,Sl3,6.2,4.8,25,25
Orchards,Us,7.1,3.6,51,26
Orchards,Sl3,6.6,3.8,14,20
Orchards,Us,7,5.5,12,20
Orchards,Us,6.9,5.7,13,19
Orchards,Sl3,5.6,5,12,22
Orchards,Sl3,6.2,7,5,2
Orchards,Sl3,6.5,5,14,15
Orchards,Sl3,7,4.5,11,17
Vineyards,Ls3,7.2,4,270,52
Vineyards,Sl3,6.1,4.2,453,33
Orchards,Sl3,6.9,3.7,14,17
Orchards,Sl3,5.1,4.3,13,13
Orchards,Us,7.2,2.5,69,13
Orchards,Ut3,7.3,2.5,23,7
Vineyards,Ls3,7.2,2.8,162,19
Orchards,Su3,7.1,0.8,10,10
Vineyards,Sl4,5.3,5,336,33
Vineyards,Sl4,7,3.3,148,27
Orchards,Sl3,4.8,7.1,23,31
Orchards,Us,6.6,3.3,7,5
Vineyards,Ls3,7.1,4.7,137,15
Vineyards,Ls3,7.2,7.7,224,18
Orchards,Us,7.2,4,68,17
Orchards,Sl2,7,5.1,29,39
Orchards,Us,7.1,5.8,89,35
Orchards,Su3,7.1,5.4,11,22
Orchards,Sl3,7,9.3,20,43
Orchards,Su3,7,0.6,22,10
Orchards,Su3,7.4,2.5,10,4
Orchards,Ls3,7.4,1.8,9,7
Orchards,Su3,6.6,2.6,78,47
Orchards,Su3,7.4,2.5,33,7
Orchards,Sl3,6.8,4.7,12,18
Orchards,Sl3,7,5.4,17,20
Orchards,Su3,7.2,1.2,7,3
Orchards,Us,7.3,6.1,12,10
Orchards,Sl2,7.2,3.1,35,22
Orchards,Su3,7.2,2.2,81,21
Orchards,Su3,7.4,3.3,29,14
Orchards,Sl2,7.1,2.3,6,38
Orchards,Sl3,7.3,3.9,49,18
Orchards,Sl3,6.4,5.5,13,21
Orchards,Sl3,6.4,7.2,20,27
Orchards,Su3,6.4,2,9,8
Orchards,Su3,6.9,4.7,11,23
Orchards,Lu,7.2,3.9,36,18
Orchards,Ls3,7.1,3.4,75,39
Orchards,Su3,6.7,3.2,35,10
Orchards,Ut3,7.1,4,48,15
Orchards,Ut3,7.1,5.2,117,20
Orchards,Ut3,7.2,4.4,15,14
Orchards,Us,5.6,5.4,10,20
Orchards,Lu,7.3,6.2,126,12
Orchards,Ls3,7,8.1,27,11
Orchards,Ut3,6.9,5.3,57,63
Orchards,Sl3,6.9,3.5,26,22
Orchards,Sl3,7.3,3.1,47,23
Orchards,Sl2,7.1,2.2,6,20
Orchards,Us,7,7,17,6
Orchards,Sl2,7.3,4.2,37,12
Orchards,Us,7.2,2.7,53,10
Orchards,Su3,6.8,3.2,30,34
Orchards,Us,7.2,2.8,32,22
Orchards,Us,6,4,15,8
Orchards,Sl3,6.4,8.4,6,13
Orchards,Sl2,7.2,4.2,68,20
Orchards,Us,7,5.3,12,15
Orchards,Sl2,7,2.6,85,18
Orchards,Sl3,7.2,6.8,10,33
Orchards,Us,7,6.3,93,35
Orchards,Su3,7.4,2.4,28,9
Orchards,Su3,6.8,3.2,76,29
Orchards,Su3,6.9,2.1,53,10
Orchards,Su3,7.1,3.4,36,17
Orchards,Us,5.9,4.3,12,12
Orchards,Sl3,7.2,2.4,11,15
Orchards,Sl3,7.1,4,13,9
Orchards,Sl3,7.3,0.6,16,4
Orchards,Sl3,7.6,3.2,36,16
Orchards,Us,6.1,2,13,12
Orchards,Sl3,5.6,4,9,8
Orchards,Sl3,6.2,6,17,40
Orchards,Sl3,5.3,5.3,7,4
Orchards,Sl3,6,4.8,37,19
Orchards,Sl3,6.7,4.3,18,21
Orchards,Us,6,4.9,54,20
Orchards,Slu,6.5,5.2,13,21
Orchards,Sl3,6.6,4.7,21,14
Orchards,Sl3,6.5,5,15,11
Orchards,Lu,7.2,3.9,69,19
Orchards,Su3,7,2.3,9,10
Orchards,Su3,6.9,4.7,14,22
Orchards,Sl2,6.3,4.2,10,12
Orchards,Su3,7,2.8,12,10
Orchards,Sl3,6.8,4.4,13,19
Orchards,Sl3,6,3.8,10,7
Orchards,Su3,6.2,6.4,16,26
Orchards,Us,6.8,4.4,11,19
Orchards,Su3,6.9,3.4,48,17
Orchards,Su3,6.2,7.6,5,9
Orchards,Lu,7.3,3.7,32,13
Orchards,Su3,5.7,2.7,21,18
Orchards,Us,7.2,2.3,53,13
Orchards,Su3,7.2,4.9,43,39
Orchards,Su3,7,3.8,12,10
Orchards,Us,7.3,3.3,23,8
Orchards,Su3,6.9,2.3,8,6
Orchards,Us,5.7,3.8,15,9
Orchards,Slu,7.3,3.6,62,24
Orchards,Us,7.4,4.7,36,16
Orchards,Ut3,7.5,3.1,34,8
Orchards,Us,7.7,4.6,31,14
